Files already downloaded and verified
Files already downloaded and verified
Epoch: 11, Iteration:   700 loss: 0.576
Epoch: 11, Iteration:   720 loss: 0.605
Epoch: 11, Iteration:   740 loss: 0.596
Epoch: 11, Iteration:   760 loss: 0.593
Epoch: 11, Iteration:   780 loss: 0.572
Loss: 1.107
Accuracy of the network on the 10000 test images: 63 %
Accuracy of plane : 75 %
Accuracy of   car : 76 %
Accuracy of  bird : 55 %
Accuracy of   cat : 49 %
Accuracy of  deer : 50 %
Accuracy of   dog : 54 %
Accuracy of  frog : 73 %
Accuracy of horse : 60 %
Accuracy of  ship : 81 %
Accuracy of truck : 65 %
Epoch    11: reducing learning rate of group 0 to 1.0000e-04.
Epoch: 12, Iteration:     0 loss: 0.033
Epoch: 12, Iteration:    20 loss: 0.583
Epoch: 12, Iteration:    40 loss: 0.570
Epoch: 12, Iteration:    60 loss: 0.556
Epoch: 12, Iteration:    80 loss: 0.583
